year,month,regs
2021,1,5649
2021,2,6287
2021,3,7423
2021,4,5196
2021,5,2392
2021,6,4658
2021,7,6921
2021,8,6095
2021,9,6325
2021,10,5579
2021,11,6050
2021,12,7245
2020,1,21681
2020,2,19401
2020,3,24524
2020,4,4455
2020,5,57
2020,6,2605
2020,7,3705
2020,8,3687
2020,9,5329
2020,10,4572
2020,11,5147
2020,12,4779
2019,1,18689
2019,2,20638
2019,3,20828
2019,4,18595
2019,5,22302
2019,6,20283
2019,7,22708
2019,8,20349
2019,9,18653
2019,10,18001
2019,11,18986
2019,12,16504
2018,1,20614
2018,2,18186
2018,3,22419
2018,4,22017
2018,5,23091
2018,6,24797
2018,7,25223
2018,8,23848
2018,9,22387
2018,10,20352
2018,11,19668
2018,12,17717
