YEAR,MONTH,TOTAL CARS SALE
2021,JAN,5649
2021,FEB,6287
2021,MAR,7423
2021,APR,5196
2021,MAY,2392
2021,JUN,4658
2021,JUL,6921
2021,AUG,6095
2021,SEP,6325
2021,OCT,5579
2021,NOV,6050
2021,DEC,7245
2020,JAN,21681
2020,FEB,19401
2020,MAR,24524
2020,APR,4455
2020,MAY,57
2020,JUN,2605
2020,JUL,3705
2020,AUG,3687
2020,SEP,5329
2020,OCT,4572
2020,NOV,5147
2020,DEC,4779
2019,JAN,18689
2019,FEB,20638
2019,MAR,20828
2019,APR,18595
2019,MAY,22302
2019,JUN,20283
2019,JUL,22708
2019,AUG,20349
2019,SEP,18653
2019,OCT,18001
2019,NOV,18986
2019,DEC,16504
2018,JAN,20614
2018,FEB,18186
2018,MAR,22419
2018,APR,22017
2018,MAY,23091
2018,JUN,24797
2018,JUL,25223
2018,AUG,23848
2018,SEP,22387
2018,OCT,20352
2018,NOV,19668
2018,DEC,17717
